,16,24,BP,CC,EM,GP,MT,PL
16,14.77,38.59,150.5,129.64,140.64,97.23,169.27,301.14
24,39.14,20.0,123.68,209.77,189.86,77.36,261.73,415.82
BP,129.36,107.64,8.05,235.73,177.86,22.5,255.41,520.32
CC,107.23,175.77,258.59,31.5,62.41,131.5,47.23,34.82
EM,141.64,227.68,231.86,67.05,46.14,141.82,13.55,54.68
GP,88.55,74.23,20.5,122.23,129.59,8.27,177.86,243.86
MT,179.36,309.18,430.23,54.27,15.82,217.41,34.05,22.18
PL,260.05,363.36,417.95,42.73,68.36,222.14,21.59,37.77
Sum,960.1,1316.45,1641.36,892.92,830.6800000000001,918.23,980.69,1630.5900000000001
