,16,24,BP,CC,EM,GP,MT,PL
16,10.68,32.36,128.41,104.05,95.95,59.95,115.36,218.59
24,35.18,11.95,117.73,160.73,129.18,61.09,173.59,326.18
BP,109.09,104.91,6.55,220.82,149.23,18.27,193.32,468.27
CC,87.27,126.68,231.18,17.5,53.77,99.45,35.14,31.73
EM,100.14,138.68,192.59,58.95,22.36,86.36,11.64,51.5
GP,64.05,58.09,15.91,97.18,80.68,5.82,126.32,190.95
MT,123.45,201.77,344.27,42.55,12.0,150.14,15.14,19.09
PL,190.5,276.45,369.95,36.05,60.36,184.5,16.95,21.73
Sum,720.36,950.89,1406.5900000000001,737.8299999999999,603.53,665.5799999999999,687.4599999999999,1328.04
