,16,24,BP,CC,EM,GP,MT,PL
16,29.57,186.33,567.0,616.76,1189.57,313.05,1449.38,1379.71
24,203.67,36.38,420.1,939.76,1610.95,243.67,1988.0,1830.43
BP,491.62,408.86,38.1,1236.33,1572.33,93.1,1955.67,2503.76
CC,557.9,903.14,1456.71,78.9,656.38,794.86,627.1,325.14
EM,1160.0,1824.48,1886.71,662.48,179.86,1396.76,129.19,535.05
GP,304.62,243.38,101.43,703.24,1241.52,24.1,1429.95,1260.33
MT,1384.24,2291.81,2957.52,615.29,136.67,1749.24,158.95,166.9
PL,1173.57,1546.33,2097.67,350.43,776.33,1128.38,303.14,117.52
Sum,5305.19,7440.71,9525.240000000002,5203.1900000000005,7363.61,5743.16,8041.379999999999,8118.84
