,EM,MT,PL,CC,16,24,GP,BP
16,1061.47,1417.58,1446.0,625.26,38.05,192.89,302.95,570.74
24,1429.37,1884.79,1913.26,943.0,195.16,47.53,238.37,467.58
BP,1167.32,1538.42,2293.95,1028.79,507.84,443.05,111.11,37.21
CC,574.16,547.63,336.47,90.47,535.0,893.37,722.11,1201.37
EM,195.53,130.16,552.89,577.11,1063.95,1722.0,1195.05,1479.47
GP,1013.47,1238.74,1261.16,640.37,298.53,243.37,25.11,103.79
MT,145.21,167.63,210.47,554.16,1320.32,2214.37,1533.16,2372.84
PL,884.32,369.79,153.95,381.58,1278.95,1614.32,1073.0,1911.79
