,16,24,BP,CC,EM,GP,MT,PL
16,38.0,200.68,660.84,644.95,1239.11,329.68,1685.21,1307.84
24,208.79,48.89,580.42,1038.89,1687.0,279.37,2186.58,1713.89
BP,586.63,555.11,34.47,1222.68,1351.95,137.68,1718.84,2191.11
CC,558.74,985.42,1372.0,92.74,616.68,769.21,582.95,272.16
EM,1194.11,1948.68,1653.37,608.79,212.95,1293.11,108.63,420.32
GP,329.32,280.47,133.16,710.89,1132.95,25.63,1401.63,1095.53
MT,1540.16,2573.05,2581.53,604.11,128.0,1701.53,191.32,151.95
PL,1112.0,1466.0,1826.42,286.95,623.37,957.63,258.42,133.58
Sum,5567.75,8058.300000000001,8842.210000000001,5210.0,6992.01,5493.84,8133.58,7286.38
