,16,24,BP,CC,EM,GP,MT,PL
16,31.55,84.86,241.23,243.09,384.86,149.09,384.73,517.45
24,87.68,24.5,178.45,387.73,507.73,126.64,536.05,699.64
BP,197.82,181.91,17.0,343.64,394.09,37.27,416.36,801.59
CC,207.5,328.77,399.68,54.91,154.36,273.27,116.86,87.32
EM,370.32,548.27,472.23,161.36,139.14,363.64,26.45,137.5
GP,145.41,133.68,39.73,262.55,328.27,13.82,367.18,437.27
MT,388.27,622.41,686.95,124.5,32.14,431.5,81.32,41.91
PL,446.64,592.91,670.0,84.68,171.55,390.55,54.64,85.0
Sum,1875.1899999999998,2517.31,2705.27,1662.46,2112.14,1785.78,1983.59,2807.68
