,16,24,BP,CC,EM,GP,MT,PL
16,10.19,28.52,125.05,97.52,80.67,54.19,98.95,186.52
24,28.67,9.24,99.81,165.14,106.1,49.95,144.62,269.19
BP,103.05,96.86,6.95,209.86,133.9,15.05,185.52,439.05
CC,85.95,137.19,233.76,15.24,42.24,95.86,36.9,28.1
EM,82.81,122.9,164.57,47.48,14.1,79.81,10.67,37.9
GP,51.24,47.19,15.05,89.71,71.05,5.24,117.1,169.67
MT,110.1,170.86,318.33,42.62,10.76,132.81,13.0,16.1
PL,158.14,240.9,364.67,35.67,44.14,158.57,17.14,24.29
Sum,630.1500000000001,853.6600000000001,1328.19,703.24,502.9599999999999,591.48,623.9,1170.8200000000002
