,EM,MT,PL,CC,16,24,GP,BP
16,95.95,115.36,218.59,104.05,10.68,32.36,59.95,128.41
24,129.18,173.59,326.18,160.73,35.18,11.95,61.09,117.73
BP,149.23,193.32,468.27,220.82,109.09,104.91,18.27,6.55
CC,53.77,35.14,31.73,17.5,87.27,126.68,99.45,231.18
EM,22.36,11.64,51.5,58.95,100.14,138.68,86.36,192.59
GP,80.68,126.32,190.95,97.18,64.05,58.09,5.82,15.91
MT,12.0,15.14,19.09,42.55,123.45,201.77,150.14,344.27
PL,60.36,16.95,21.73,36.05,190.5,276.45,184.5,369.95
