,EM,MT,PL,CC,16,24,GP,BP
16," 1,171 "," 1,532 "," 1,419 ", 625 , 33 , 198 , 311 , 613 
24," 1,557 "," 2,109 "," 1,888 "," 1,021 ", 215 , 37 , 266 , 603 
BP," 1,313 "," 1,777 "," 2,250 "," 1,188 ", 556 , 562 , 124 , 42 
CC, 630 , 618 , 312 , 76 , 581 , 979 , 769 ," 1,300 "
EM, 167 , 122 , 483 , 616 ," 1,130 "," 1,774 "," 1,266 "," 1,541 "
GP," 1,120 "," 1,378 "," 1,164 ", 685 , 315 , 265 , 26 , 132 
MT, 141 , 164 , 178 , 596 ," 1,475 "," 2,480 "," 1,685 "," 2,631 "
PL, 746 , 298 , 118 , 333 ," 1,213 "," 1,592 "," 1,057 "," 1,949 "
