,16,24,BP,CC,EM,GP,MT,PL
16,6.05,26.43,105.38,95.19,68.62,43.19,89.67,147.62
24,29.95,7.81,80.19,143.24,83.38,43.1,108.9,222.05
BP,95.38,82.1,6.86,194.1,119.33,18.67,162.24,342.43
CC,78.71,115.33,206.33,12.81,41.81,83.71,29.62,19.33
EM,70.19,97.95,144.24,39.52,11.86,68.43,8.81,29.14
GP,43.14,43.33,18.05,80.62,63.05,5.29,94.29,142.0
MT,91.05,129.38,266.1,35.1,8.62,106.29,9.43,12.67
PL,125.95,190.24,294.33,26.14,32.29,137.19,12.24,14.71
Sum,540.42,692.5699999999999,1121.48,626.72,428.96,505.87,515.2,929.95
