,16,24,BP,CC,EM,GP,MT,PL
16,7.39,26.33,119.22,99.67,78.5,51.06,101.28,179.89
24,29.39,8.56,94.28,160.11,105.22,44.39,143.33,285.39
BP,97.83,93.56,8.11,203.89,137.17,12.78,188.06,435.11
CC,85.72,128.0,222.83,11.89,43.22,91.78,32.61,28.11
EM,80.89,124.83,167.44,43.39,10.56,75.89,8.06,36.89
GP,48.22,44.83,12.28,86.0,68.11,4.22,118.72,174.72
MT,112.78,168.0,321.06,38.17,8.67,129.39,13.72,19.72
PL,161.72,240.22,372.61,36.67,46.11,167.11,18.61,19.06
Sum,623.94,834.3299999999999,1317.8300000000002,679.79,497.56,576.62,624.3900000000001,1178.89
