,16,24,BP,CC,EM,GP,MT,PL
16,6.11,23.05,101.79,78.42,62.05,45.0,71.84,141.37
24,27.32,8.58,80.0,132.84,79.84,37.74,110.79,231.53
BP,84.16,74.89,6.42,174.42,124.47,12.84,160.42,377.0
CC,65.21,106.63,185.47,13.53,36.37,73.95,23.63,20.89
EM,56.58,92.74,148.95,35.05,11.21,61.11,6.21,30.16
GP,44.21,36.26,14.21,76.79,61.89,5.37,94.11,138.37
MT,75.0,135.84,270.74,30.21,8.42,102.95,10.42,15.68
PL,129.89,193.42,305.11,28.32,29.79,133.0,12.16,18.26
Sum,488.47999999999996,671.41,1112.69,569.5799999999999,414.04,471.96000000000004,489.5799999999999,973.26
