,EM,MT,PL,CC,16,24,GP,BP
16,182.73,208.5,318.36,143.91,18.5,45.05,95.32,148.18
24,244.05,300.5,449.95,222.45,42.73,21.41,82.23,114.64
BP,213.68,276.77,542.05,234.86,125.36,101.68,21.5,9.95
CC,75.41,59.55,38.36,32.36,115.36,198.82,140.91,258.95
EM,62.18,16.45,63.64,80.05,185.18,295.32,169.05,273.09
GP,150.59,193.5,257.5,133.91,87.55,79.14,8.45,20.27
MT,16.5,41.5,20.91,64.18,219.73,363.73,238.45,468.86
PL,75.59,23.05,44.77,50.41,279.18,393.27,236.23,442.55
