,EM,MT,PL,CC,16,24,GP,BP
16,1242.86,1546.36,1381.77,625.95,43.0,183.5,313.86,533.77
24,1627.86,1990.55,1768.95,934.91,188.09,46.0,233.14,394.73
BP,1328.32,1739.18,2123.64,1022.05,480.73,382.95,97.32,34.23
CC,654.95,577.0,279.91,98.23,556.77,879.77,734.68,1203.68
EM,227.86,127.36,503.32,688.36,1219.59,1926.32,1286.0,1651.86
GP,1111.91,1354.27,1144.0,644.5,307.91,237.86,23.73,101.73
MT,159.32,197.41,165.05,629.41,1441.14,2346.36,1678.09,2604.45
PL,720.41,288.68,148.05,310.41,1163.32,1489.45,981.41,1772.59
