,EM,MT,PL,CC,16,24,GP,BP
16,58.91,87.55,153.86,90.45,8.0,23.09,49.32,114.27
24,93.32,112.59,220.32,139.41,27.0,7.86,41.68,84.27
BP,119.86,159.05,354.68,182.14,101.32,82.77,16.5,7.73
CC,38.18,30.73,19.5,12.91,79.0,118.5,83.77,203.32
EM,10.14,6.77,28.36,40.45,69.23,100.18,71.32,136.5
GP,62.18,94.59,140.27,81.23,45.0,38.68,5.41,17.09
MT,7.36,10.0,14.23,35.5,94.14,135.41,105.45,266.82
PL,30.27,12.82,18.05,27.32,132.77,197.36,129.27,298.36
