,16,24,BP,CC,EM,GP,MT,PL
16,34.33,190.67,600.81,671.0,1257.48,297.67,1610.67,1420.71
24,204.81,42.29,500.14,1008.0,1661.52,241.76,2117.38,1847.86
BP,544.95,472.62,35.76,1101.81,1362.95,116.9,1756.57,2232.76
CC,588.05,956.48,1249.0,86.86,652.67,751.29,598.71,318.38
EM,1227.67,1955.33,1655.9,661.76,180.48,1282.52,131.81,507.38
GP,299.19,246.43,118.9,687.57,1122.48,22.24,1408.1,1153.14
MT,1524.52,2487.05,2657.52,650.67,156.52,1735.62,188.24,179.29
PL,1200.29,1555.43,1914.14,332.62,761.19,1035.38,300.33,127.0
Sum,5623.8099999999995,7906.299999999999,8732.17,5200.29,7155.29,5483.38,8111.8099999999995,7786.52
