,16,24,BP,CC,EM,GP,MT,PL
16,26.71,85.9,246.9,247.62,343.0,144.0,357.38,477.67
24,90.05,26.29,201.86,383.62,481.24,120.33,489.71,661.71
BP,207.43,203.1,15.19,372.33,383.14,43.48,401.0,744.76
CC,200.9,314.62,380.0,49.24,125.81,235.38,79.67,67.0
EM,344.52,515.19,449.29,141.24,103.71,340.19,21.81,114.62
GP,150.57,124.19,49.14,234.48,315.81,11.9,339.38,388.43
MT,369.19,578.14,649.71,97.62,25.0,399.86,60.86,35.43
PL,406.71,533.0,594.81,75.1,140.57,324.52,43.76,63.86
Sum,1796.08,2380.4300000000003,2586.9,1601.25,1918.28,1619.66,1793.57,2553.48
