,16,24,BP,CC,EM,GP,MT,PL
16,31.44,187.94,576.39,585.5,1078.83,291.33,1376.39,1492.83
24,202.56,38.89,500.0,943.11,1433.0,240.89,1832.33,1996.06
BP,500.67,480.5,33.89,1071.83,1273.67,118.94,1650.44,2389.56
CC,527.28,883.94,1210.83,71.89,556.78,715.56,554.39,345.0
EM,1048.83,1706.78,1554.22,571.39,176.56,1200.0,132.72,597.0
GP,283.72,236.28,110.5,629.78,1022.78,24.44,1238.0,1312.89
MT,1308.67,2203.94,2545.78,557.56,156.44,1575.56,166.39,203.17
PL,1297.0,1657.94,2004.28,412.17,947.67,1133.22,382.56,146.89
Sum,5200.17,7396.210000000001,8535.89,4843.23,6645.73,5299.94,7333.22,8483.4
