,EM,MT,PL,CC,16,24,GP,BP
16,1160.5,1530.68,1457.45,636.18,32.64,206.77,303.5,560.82
24,1581.27,2085.27,1862.68,998.86,213.41,38.32,255.59,514.55
BP,1297.82,1701.82,2189.41,1100.59,495.05,495.05,112.41,53.45
CC,601.41,592.14,311.77,79.14,574.59,953.0,732.64,1214.0
EM,200.68,131.77,498.91,602.41,1105.23,1781.41,1248.77,1499.32
GP,1104.32,1366.55,1164.64,665.45,298.32,253.14,35.23,115.55
MT,155.18,158.32,195.05,573.82,1416.0,2413.32,1647.41,2518.73
PL,744.95,304.27,114.5,345.5,1219.45,1612.77,1051.73,1899.36
