,16,24,BP,CC,EM,GP,MT,PL
16,22.18,79.36,243.73,226.18,341.05,145.95,343.32,485.36
24,84.59,25.32,201.86,366.68,463.68,132.55,477.41,651.0
BP,204.45,204.59,14.27,373.82,369.23,42.45,388.09,735.86
CC,196.45,318.09,407.18,51.23,133.86,239.05,93.64,72.95
EM,338.09,508.91,431.59,133.55,106.14,332.18,20.5,116.73
GP,152.95,137.32,46.41,224.14,301.18,9.86,341.55,398.36
MT,362.68,583.14,636.41,106.45,25.32,399.45,57.95,36.0
PL,426.14,557.86,613.55,78.55,144.23,349.09,47.27,65.95
Sum,1787.5299999999997,2414.59,2595.0,1560.6000000000001,1884.69,1650.58,1769.73,2562.21
