,16,24,BP,CC,EM,GP,MT,PL
16,26.18,63.55,201.41,175.0,197.68,119.95,239.0,354.27
24,59.41,23.27,186.14,296.05,279.14,110.0,332.55,516.18
BP,167.68,182.36,14.77,301.14,250.73,41.0,314.82,621.36
CC,160.09,265.64,334.82,57.27,98.41,203.27,75.59,67.0
EM,201.41,310.5,299.82,103.23,69.95,191.45,15.18,77.86
GP,114.5,106.36,45.27,185.55,176.09,10.45,231.0,306.82
MT,247.77,396.77,528.59,86.86,17.09,267.18,58.36,23.82
PL,318.05,445.0,493.59,71.23,97.86,274.59,31.82,60.68
Sum,1295.0900000000001,1793.45,2104.41,1276.33,1186.95,1217.8899999999999,1298.32,2027.99
