,EM,MT,PL,CC,16,24,GP,BP
16,62.05,71.84,141.37,78.42,6.11,23.05,45.0,101.79
24,79.84,110.79,231.53,132.84,27.32,8.58,37.74,80.0
BP,124.47,160.42,377.0,174.42,84.16,74.89,12.84,6.42
CC,36.37,23.63,20.89,13.53,65.21,106.63,73.95,185.47
EM,11.21,6.21,30.16,35.05,56.58,92.74,61.11,148.95
GP,61.89,94.11,138.37,76.79,44.21,36.26,5.37,14.21
MT,8.42,10.42,15.68,30.21,75.0,135.84,102.95,270.74
PL,29.79,12.16,18.26,28.32,129.89,193.42,133.0,305.11
