,16,24,BP,CC,EM,GP,MT,PL
16,31.1,79.43,221.67,221.48,374.9,140.0,353.81,476.38
24,82.43,24.62,159.86,329.24,484.52,122.33,495.95,653.71
BP,178.76,162.71,13.62,320.19,368.38,32.05,391.05,746.57
CC,188.67,284.57,368.0,45.81,137.95,224.67,97.38,74.38
EM,370.19,548.67,451.95,139.57,123.33,335.9,24.57,129.38
GP,138.48,119.14,34.0,210.43,297.57,10.67,343.33,400.81
MT,364.86,595.52,628.62,114.95,28.67,401.24,61.9,40.33
PL,414.71,546.05,617.24,76.95,152.62,353.14,48.33,77.1
Sum,1769.1999999999998,2360.71,2494.96,1458.62,1967.94,1620.0,1816.3200000000002,2598.6600000000003
