,EM,MT,PL,CC,16,24,GP,BP
16,1147.9,1502.81,1437.33,635.62,34.29,214.43,302.81,609.43
24,1572.24,2057.57,1879.48,1008.0,222.95,40.9,254.19,572.9
BP,1328.81,1750.05,2281.62,1175.95,548.86,538.33,115.24,37.0
CC,614.29,571.14,295.33,71.29,582.52,971.48,763.33,1279.14
EM,179.33,127.1,492.38,604.05,1123.38,1766.57,1263.1,1540.24
GP,1126.24,1366.57,1173.14,691.19,308.33,247.05,26.76,127.81
MT,150.76,164.19,179.95,546.52,1433.95,2400.0,1650.43,2555.19
PL,758.19,312.67,115.62,331.14,1235.81,1615.95,1061.81,1974.9
