,16,24,BP,CC,EM,GP,MT,PL
16,36.38,192.43,615.43,628.19,1184.57,322.0,1641.81,1326.24
24,205.48,45.57,495.29,981.95,1628.52,259.86,2173.38,1735.86
BP,552.67,494.71,32.62,1122.48,1293.71,122.71,1696.81,2163.67
CC,539.0,920.43,1270.43,86.52,595.9,738.29,569.19,262.62
EM,1160.33,1911.62,1593.52,599.05,194.29,1275.19,113.9,417.0
GP,329.76,267.38,121.52,670.81,1120.48,26.86,1398.62,1105.05
MT,1522.81,2537.57,2528.67,586.62,136.38,1691.0,175.38,155.43
PL,1122.81,1446.95,1780.43,286.43,624.71,956.43,274.33,134.81
Sum,5469.24,7816.66,8437.91,4962.05,6778.560000000001,5392.34,8043.42,7300.679999999999
