,16,24,BP,CC,EM,GP,MT,PL
16,22.48,63.14,213.29,198.67,231.95,124.14,267.95,390.9
24,65.9,24.0,183.52,323.14,316.62,116.9,380.29,575.9
BP,183.24,182.67,11.38,301.29,271.57,39.33,325.71,640.71
CC,183.76,293.62,347.95,40.67,102.81,213.38,79.76,74.05
EM,245.33,353.86,322.95,113.33,59.43,216.33,17.38,77.76
GP,125.57,117.19,42.0,200.1,196.1,8.81,261.0,337.24
MT,272.38,449.29,549.43,86.95,18.43,306.33,47.29,29.52
PL,356.05,496.67,504.62,80.43,101.52,302.38,35.62,59.48
Sum,1454.71,1980.44,2175.14,1344.58,1298.4299999999998,1327.6,1415.0,2185.56
