,EM,MT,PL,CC,16,24,GP,BP
16,1242.91,1576.91,1420.18,627.23,43.14,187.36,312.27,579.09
24,1671.32,2041.59,1784.73,955.73,186.5,50.27,247.05,462.86
BP,1374.68,1776.59,2228.36,1098.5,520.45,446.91,114.0,38.05
CC,658.05,605.95,293.95,97.73,558.32,902.64,739.59,1284.18
EM,234.14,115.86,489.73,680.73,1231.32,1949.64,1309.5,1664.14
GP,1141.45,1395.45,1163.91,668.68,309.64,255.23,24.09,118.41
MT,129.82,182.82,170.68,628.91,1472.05,2410.32,1703.77,2613.91
PL,704.73,282.64,141.27,316.05,1182.5,1498.41,1015.14,1866.27
