,16,24,BP,CC,EM,GP,MT,PL
16,34.26,194.04,613.83,612.17,1152.65,322.3,1463.22,1376.83
24,207.04,38.78,500.57,968.57,1605.0,261.57,1981.0,1842.52
BP,526.17,480.35,44.65,1249.39,1528.26,109.7,1943.0,2513.57
CC,554.65,916.35,1445.48,80.0,637.09,773.0,593.65,312.04
EM,1129.35,1819.22,1833.74,628.13,185.13,1392.35,126.65,509.22
GP,314.09,255.7,115.13,695.26,1213.26,27.43,1429.0,1240.83
MT,1401.26,2339.74,2928.65,600.43,140.91,1746.74,171.87,183.13
PL,1157.96,1529.96,2116.91,338.3,739.3,1117.3,302.52,122.26
Sum,5324.78,7574.139999999999,9598.96,5172.25,7201.6,5750.389999999999,8010.910000000001,8100.4
