,16,24,BP,CC,EM,GP,MT,PL
16,5.41,15.82,72.64,83.23,29.64,34.0,46.14,85.36
24,18.73,6.5,59.5,108.41,50.36,27.18,65.0,103.73
BP,67.5,59.41,4.0,121.27,68.36,11.09,87.45,137.09
CC,76.41,86.95,123.36,11.91,20.0,56.91,18.32,17.64
EM,38.86,61.73,77.36,22.91,6.14,36.55,4.91,15.82
GP,28.91,24.55,14.18,55.5,34.86,5.23,52.36,65.27
MT,55.59,78.09,142.82,18.05,5.18,60.73,5.73,9.5
PL,79.64,94.09,110.55,17.55,16.55,56.5,9.59,8.82
Sum,371.05,427.14000000000004,604.41,438.83,231.09000000000003,288.19,289.5,443.23
