,EM,MT,PL,CC,16,24,GP,BP
16,140.64,169.27,301.14,129.64,14.77,38.59,97.23,150.5
24,189.86,261.73,415.82,209.77,39.14,20.0,77.36,123.68
BP,177.86,255.41,520.32,235.73,129.36,107.64,22.5,8.05
CC,62.41,47.23,34.82,31.5,107.23,175.77,131.5,258.59
EM,46.14,13.55,54.68,67.05,141.64,227.68,141.82,231.86
GP,129.59,177.86,243.86,122.23,88.55,74.23,8.27,20.5
MT,15.82,34.05,22.18,54.27,179.36,309.18,217.41,430.23
PL,68.36,21.59,37.77,42.73,260.05,363.36,222.14,417.95
