,EM,MT,PL,CC,16,24,GP,BP
16,80.48,100.7,196.48,94.13,9.26,30.17,56.57,118.04
24,104.22,148.61,286.35,152.91,31.48,12.17,48.39,94.65
BP,137.26,180.48,435.61,209.48,100.22,87.17,16.96,5.39
CC,42.83,30.3,29.17,14.35,80.13,122.39,84.7,217.78
EM,15.61,10.7,40.91,43.48,80.96,120.26,69.57,174.96
GP,66.48,113.61,171.78,82.74,53.52,48.09,5.48,16.39
MT,9.61,12.3,15.96,38.3,103.09,179.78,133.39,310.87
PL,46.87,17.74,20.35,32.04,173.96,244.09,169.61,353.74
