,16,24,BP,CC,EM,GP,MT,PL
16, 26 , 196 , 578 , 621 ," 1,124 ", 308 ," 1,525 "," 1,390 "
24, 216 , 29 , 500 , 973 ," 1,535 ", 245 ," 2,088 "," 1,850 "
BP, 520 , 479 , 39 ," 1,083 "," 1,287 ", 117 ," 1,702 "," 2,129 "
CC, 558 , 945 ," 1,227 ", 68 , 572 , 715 , 530 , 296 
EM," 1,094 "," 1,769 "," 1,507 ", 578 , 156 ," 1,250 ", 132 , 471 
GP, 302 , 250 , 116 , 653 ," 1,116 ", 23 ," 1,364 "," 1,156 "
MT," 1,450 "," 2,427 "," 2,497 ", 546 , 151 ," 1,641 ", 147 , 177 
PL," 1,177 "," 1,570 "," 1,850 ", 321 , 712 ," 1,035 ", 294 , 106 
Sum," 26  216  520  558  1,094  302  1,450  1,177 "," 196  29  479  945  1,769  250  2,427  1,570 "," 578  500  39  1,227  1,507  116  2,497  1,850 "," 621  973  1,083  68  578  653  546  321 "," 1,124  1,535  1,287  572  156  1,116  151  712 "," 308  245  117  715  1,250  23  1,641  1,035 "," 1,525  2,088  1,702  530  132  1,364  147  294 "," 1,390  1,850  2,129  296  471  1,156  177  106 "
