,16,24,BP,CC,EM,GP,MT,PL
16,22.8,79.4,229.9,203.0,239.35,133.95,261.4,403.45
24,80.1,18.5,188.1,336.45,342.7,114.05,374.65,573.25
BP,193.3,206.55,11.9,301.55,280.95,37.25,306.5,635.9
CC,182.15,310.3,329.0,32.3,97.15,204.15,68.25,61.4
EM,253.9,380.4,329.55,96.05,50.25,213.15,14.2,79.55
GP,136.2,117.45,43.25,191.8,203.05,7.25,256.45,327.85
MT,280.9,463.85,523.6,84.1,17.25,301.45,40.65,27.85
PL,355.2,499.15,524.6,68.6,98.05,279.9,36.8,52.65
Sum,1504.5499999999997,2075.6,2179.9,1313.8500000000001,1328.75,1291.1499999999999,1358.8999999999999,2161.9
