,EM,MT,PL,CC,16,24,GP,BP
16,68.62,89.67,147.62,95.19,6.05,26.43,43.19,105.38
24,83.38,108.9,222.05,143.24,29.95,7.81,43.1,80.19
BP,119.33,162.24,342.43,194.1,95.38,82.1,18.67,6.86
CC,41.81,29.62,19.33,12.81,78.71,115.33,83.71,206.33
EM,11.86,8.81,29.14,39.52,70.19,97.95,68.43,144.24
GP,63.05,94.29,142.0,80.62,43.14,43.33,5.29,18.05
MT,8.62,9.43,12.67,35.1,91.05,129.38,106.29,266.1
PL,32.29,12.24,14.71,26.14,125.95,190.24,137.19,294.33
