,EM,MT,PL,CC,16,24,GP,BP
16,1219.19,1514.76,1437.14,644.0,41.1,197.1,307.52,547.67
24,1650.76,2057.9,1899.81,1010.43,212.43,43.43,254.67,432.62
BP,1377.57,1724.48,2266.0,1105.0,479.9,423.38,106.29,40.81
CC,701.71,631.48,336.38,85.48,590.52,965.33,783.86,1293.05
EM,210.76,132.48,535.9,686.19,1149.9,1860.9,1307.71,1652.62
GP,1153.86,1352.57,1215.95,686.38,304.95,253.81,27.57,109.14
MT,151.1,179.52,208.48,611.1,1428.33,2407.76,1669.67,2557.57
PL,803.1,325.05,145.9,367.52,1226.24,1598.9,1082.95,1901.14
