,16,24,BP,CC,EM,GP,MT,PL
16,21.77,64.27,207.36,183.32,231.45,118.09,252.59,391.05
24,64.14,22.77,170.55,307.32,317.82,112.77,385.05,584.45
BP,177.5,175.73,13.77,317.91,271.59,32.59,310.64,657.36
CC,168.55,280.18,352.41,40.09,96.27,214.55,75.41,76.23
EM,245.82,361.27,326.59,108.45,55.0,217.73,18.59,82.68
GP,118.36,113.14,37.95,202.32,199.45,9.41,251.68,349.23
MT,261.32,456.41,531.18,82.95,17.59,295.82,44.32,29.41
PL,365.95,506.45,531.18,75.68,102.0,312.23,35.77,56.36
Sum,1423.41,1980.2199999999998,2170.99,1318.04,1291.1699999999998,1313.19,1374.05,2226.7700000000004
