,16,24,BP,CC,EM,GP,MT,PL
16,5.0,14.65,88.6,86.55,34.05,34.65,52.4,88.95
24,16.35,6.55,68.3,121.15,57.7,33.0,77.85,120.05
BP,78.3,66.7,4.55,140.7,77.1,13.15,102.0,169.4
CC,73.3,91.3,147.85,9.7,21.9,61.55,22.5,13.55
EM,44.4,72.9,89.75,23.4,8.9,46.25,4.1,15.8
GP,32.05,32.8,15.6,61.5,43.25,5.45,60.7,72.55
MT,59.9,89.35,170.95,24.1,5.3,69.4,6.05,7.45
PL,74.6,106.6,143.55,15.55,17.1,61.0,7.7,9.45
Sum,383.9,480.84999999999997,729.15,482.65,265.3,324.45000000000005,333.3,497.20000000000005
