,16,24,BP,CC,EM,GP,MT,PL
16,34.29,214.43,609.43,635.62,1147.9,302.81,1502.81,1437.33
24,222.95,40.9,572.9,1008.0,1572.24,254.19,2057.57,1879.48
BP,548.86,538.33,37.0,1175.95,1328.81,115.24,1750.05,2281.62
CC,582.52,971.48,1279.14,71.29,614.29,763.33,571.14,295.33
EM,1123.38,1766.57,1540.24,604.05,179.33,1263.1,127.1,492.38
GP,308.33,247.05,127.81,691.19,1126.24,26.76,1366.57,1173.14
MT,1433.95,2400.0,2555.19,546.52,150.76,1650.43,164.19,179.95
PL,1235.81,1615.95,1974.9,331.14,758.19,1061.81,312.67,115.62
Sum,5490.09,7794.709999999999,8696.61,5063.76,6877.76,5437.67,7852.099999999999,7854.85
