,16,24,BP,CC,EM,GP,MT,PL
16,41.89,195.5,643.78,657.28,1196.94,333.89,1610.94,1423.17
24,205.56,49.44,543.17,1004.89,1602.61,263.78,2101.39,1827.61
BP,576.17,509.72,39.39,1165.78,1274.44,126.11,1722.89,2300.17
CC,561.28,977.17,1354.06,101.11,640.17,756.56,605.44,314.22
EM,1166.67,1899.83,1586.5,647.11,227.94,1265.0,139.61,482.22
GP,329.17,271.5,121.28,692.61,1083.06,23.72,1407.39,1174.22
MT,1482.61,2483.28,2559.61,618.33,147.67,1692.67,196.11,181.78
PL,1220.22,1556.83,1953.94,337.28,723.83,1028.72,308.61,157.11
Sum,5583.57,7943.27,8801.73,5224.389999999999,6896.66,5490.450000000001,8092.38,7860.5
