,EM,MT,PL,CC,16,24,GP,BP
16,1160.64,1508.82,1398.14,640.68,37.23,190.86,329.0,634.64
24,1617.45,2078.64,1855.77,1034.09,209.95,52.23,267.0,604.64
BP,1376.32,1832.5,2399.32,1253.5,568.18,587.77,129.09,57.32
CC,624.05,615.41,323.73,88.95,586.95,959.64,797.73,1395.91
EM,195.73,122.59,488.68,628.41,1130.23,1859.95,1293.36,1644.18
GP,1123.18,1410.59,1194.09,702.0,319.64,261.23,29.73,133.23
MT,136.45,178.0,169.36,605.86,1439.36,2473.68,1720.14,2731.77
PL,711.5,305.91,135.23,328.41,1169.45,1567.14,1064.86,2023.23
