,EM,MT,PL,CC,16,24,GP,BP
16,1118.79,1443.42,1338.58,629.89,31.89,202.42,296.26,583.74
24,1538.21,1997.26,1837.53,987.11,220.05,41.89,245.79,525.21
BP,1304.21,1740.0,2298.79,1138.74,516.63,502.63,115.89,40.79
CC,585.32,588.95,302.68,73.68,552.95,928.63,747.11,1283.74
EM,171.21,125.95,489.58,607.21,1079.21,1780.21,1236.16,1593.68
GP,1066.16,1348.89,1158.26,668.84,299.68,242.37,21.74,117.89
MT,150.63,151.47,186.05,618.26,1362.42,2342.21,1641.16,2615.26
PL,748.42,333.74,119.11,338.68,1141.0,1523.21,1011.79,1938.84
