,EM,MT,PL,CC,16,24,GP,BP
16,1239.11,1685.21,1307.84,644.95,38.0,200.68,329.68,660.84
24,1687.0,2186.58,1713.89,1038.89,208.79,48.89,279.37,580.42
BP,1351.95,1718.84,2191.11,1222.68,586.63,555.11,137.68,34.47
CC,616.68,582.95,272.16,92.74,558.74,985.42,769.21,1372.0
EM,212.95,108.63,420.32,608.79,1194.11,1948.68,1293.11,1653.37
GP,1132.95,1401.63,1095.53,710.89,329.32,280.47,25.63,133.16
MT,128.0,191.32,151.95,604.11,1540.16,2573.05,1701.53,2581.53
PL,623.37,258.42,133.58,286.95,1112.0,1466.0,957.63,1826.42
