,EM,MT,PL,CC,16,24,GP,BP
16,1253.37,1651.26,1380.32,665.79,37.84,203.11,301.95,621.47
24,1698.84,2190.84,1842.21,1022.68,222.53,42.47,231.05,539.11
BP,1372.84,1811.26,2211.58,1135.32,553.63,509.95,124.26,41.26
CC,660.37,645.37,328.47,78.47,580.05,968.89,759.74,1276.89
EM,189.63,146.58,503.26,674.58,1207.16,1960.53,1299.05,1655.42
GP,1132.05,1446.11,1146.74,677.95,303.32,231.68,24.16,127.26
MT,176.95,173.21,194.42,676.84,1534.42,2518.79,1749.26,2645.95
PL,752.16,346.21,125.53,351.05,1165.32,1551.32,1024.16,1933.74
