,EM,MT,PL,CC,16,24,GP,BP
16,1167.68,1531.95,1417.21,631.58,36.68,187.84,324.53,654.63
24,1606.32,2102.58,1920.32,1033.53,207.74,52.11,276.11,650.26
BP,1427.89,1879.0,2477.05,1313.79,584.11,619.84,141.21,50.05
CC,660.32,645.42,336.42,84.74,566.58,966.58,772.32,1448.84
EM,183.89,136.42,525.47,642.05,1130.79,1831.05,1321.11,1664.05
GP,1165.0,1430.84,1231.32,712.74,319.79,260.37,25.21,145.95
MT,146.89,172.58,187.84,639.0,1458.53,2464.68,1727.74,2812.58
PL,767.21,310.95,131.95,348.63,1198.68,1615.84,1100.63,2109.42
