,EM,MT,PL,CC,16,24,GP,BP
16,1208.73,1575.05,1391.95,664.14,52.86,200.41,343.68,664.68
24,1630.55,2046.55,1770.64,1031.14,202.82,50.09,267.91,576.5
BP,1340.91,1734.59,2253.95,1214.0,600.0,533.23,129.91,37.36
CC,638.95,604.64,296.36,120.36,586.09,997.23,791.18,1417.45
EM,271.95,130.18,454.86,661.68,1232.77,1984.91,1295.45,1676.14
GP,1118.86,1398.82,1138.18,718.82,346.95,272.73,28.0,129.23
MT,135.36,265.68,162.91,633.59,1506.41,2521.59,1710.95,2612.91
PL,663.64,268.14,169.0,304.64,1210.68,1513.41,1000.82,1907.23
