,16,24,BP,CC,EM,GP,MT,PL
16,13.95,51.45,173.14,155.95,173.77,104.59,207.36,334.73
24,47.32,15.5,147.05,260.55,258.14,91.27,312.36,478.77
BP,144.18,144.59,11.36,273.36,233.5,30.95,300.23,588.64
CC,136.18,230.77,296.27,29.95,90.5,175.0,58.36,49.23
EM,185.55,294.41,281.18,93.59,50.23,184.5,15.36,67.68
GP,100.18,89.55,34.59,163.5,164.36,8.36,207.64,268.59
MT,224.23,364.91,492.09,69.36,15.55,234.91,34.45,22.32
PL,301.55,407.82,468.59,59.32,82.64,251.18,27.05,46.36
Sum,1153.1399999999999,1599.0,1904.2699999999998,1105.58,1068.69,1080.76,1162.81,1856.32
