,16,24,BP,CC,EM,GP,MT,PL
16,31.89,202.42,583.74,629.89,1118.79,296.26,1443.42,1338.58
24,220.05,41.89,525.21,987.11,1538.21,245.79,1997.26,1837.53
BP,516.63,502.63,40.79,1138.74,1304.21,115.89,1740.0,2298.79
CC,552.95,928.63,1283.74,73.68,585.32,747.11,588.95,302.68
EM,1079.21,1780.21,1593.68,607.21,171.21,1236.16,125.95,489.58
GP,299.68,242.37,117.89,668.84,1066.16,21.74,1348.89,1158.26
MT,1362.42,2342.21,2615.26,618.26,150.63,1641.16,151.47,186.05
PL,1141.0,1523.21,1938.84,338.68,748.42,1011.79,333.74,119.11
Sum,5203.83,7563.57,8699.15,5062.41,6682.950000000001,5315.9,7729.68,7730.58
