,EM,MT,PL,CC,16,24,GP,BP
16,34.05,52.4,88.95,86.55,5.0,14.65,34.65,88.6
24,57.7,77.85,120.05,121.15,16.35,6.55,33.0,68.3
BP,77.1,102.0,169.4,140.7,78.3,66.7,13.15,4.55
CC,21.9,22.5,13.55,9.7,73.3,91.3,61.55,147.85
EM,8.9,4.1,15.8,23.4,44.4,72.9,46.25,89.75
GP,43.25,60.7,72.55,61.5,32.05,32.8,5.45,15.6
MT,5.3,6.05,7.45,24.1,59.9,89.35,69.4,170.95
PL,17.1,7.7,9.45,15.55,74.6,106.6,61.0,143.55
