,EM,MT,PL,CC,16,24,GP,BP
16,1189.57,1449.38,1379.71,616.76,29.57,186.33,313.05,567.0
24,1610.95,1988.0,1830.43,939.76,203.67,36.38,243.67,420.1
BP,1572.33,1955.67,2503.76,1236.33,491.62,408.86,93.1,38.1
CC,656.38,627.1,325.14,78.9,557.9,903.14,794.86,1456.71
EM,179.86,129.19,535.05,662.48,1160.0,1824.48,1396.76,1886.71
GP,1241.52,1429.95,1260.33,703.24,304.62,243.38,24.1,101.43
MT,136.67,158.95,166.9,615.29,1384.24,2291.81,1749.24,2957.52
PL,776.33,303.14,117.52,350.43,1173.57,1546.33,1128.38,2097.67
