,16,24,BP,CC,EM,GP,MT,PL
16,9.26,30.17,118.04,94.13,80.48,56.57,100.7,196.48
24,31.48,12.17,94.65,152.91,104.22,48.39,148.61,286.35
BP,100.22,87.17,5.39,209.48,137.26,16.96,180.48,435.61
CC,80.13,122.39,217.78,14.35,42.83,84.7,30.3,29.17
EM,80.96,120.26,174.96,43.48,15.61,69.57,10.7,40.91
GP,53.52,48.09,16.39,82.74,66.48,5.48,113.61,171.78
MT,103.09,179.78,310.87,38.3,9.61,133.39,12.3,15.96
PL,173.96,244.09,353.74,32.04,46.87,169.61,17.74,20.35
Sum,632.62,844.12,1291.8200000000002,667.4300000000001,503.35999999999996,584.6700000000001,614.44,1196.6100000000001
