,EM,MT,PL,CC,16,24,GP,BP
16,231.95,267.95,390.9,198.67,22.48,63.14,124.14,213.29
24,316.62,380.29,575.9,323.14,65.9,24.0,116.9,183.52
BP,271.57,325.71,640.71,301.29,183.24,182.67,39.33,11.38
CC,102.81,79.76,74.05,40.67,183.76,293.62,213.38,347.95
EM,59.43,17.38,77.76,113.33,245.33,353.86,216.33,322.95
GP,196.1,261.0,337.24,200.1,125.57,117.19,8.81,42.0
MT,18.43,47.29,29.52,86.95,272.38,449.29,306.33,549.43
PL,101.52,35.62,59.48,80.43,356.05,496.67,302.38,504.62
