,16,24,BP,CC,EM,GP,MT,PL
16,66.0,192.05,652.0,647.1,1195.4,329.4,1536.35,1346.65
24,196.55,57.15,595.1,991.95,1658.5,266.5,2012.95,1713.35
BP,590.35,551.15,51.7,1250.55,1372.4,135.5,1776.8,2243.6
CC,564.9,947.75,1416.15,170.95,649.65,797.35,608.9,276.9
EM,1218.1,1990.35,1696.0,659.65,331.65,1295.9,122.7,443.65
GP,331.05,267.45,134.45,713.55,1134.65,30.4,1389.3,1118.15
MT,1446.45,2449.25,2638.65,623.55,159.35,1701.25,282.5,155.6
PL,1152.0,1477.85,1915.3,273.05,649.85,995.05,277.1,194.7
Sum,5565.4,7933.0,9099.349999999999,5330.35,7151.450000000001,5551.35,8006.6,7492.6
