,EM,MT,PL,CC,16,24,GP,BP
16,231.45,252.59,391.05,183.32,21.77,64.27,118.09,207.36
24,317.82,385.05,584.45,307.32,64.14,22.77,112.77,170.55
BP,271.59,310.64,657.36,317.91,177.5,175.73,32.59,13.77
CC,96.27,75.41,76.23,40.09,168.55,280.18,214.55,352.41
EM,55.0,18.59,82.68,108.45,245.82,361.27,217.73,326.59
GP,199.45,251.68,349.23,202.32,118.36,113.14,9.41,37.95
MT,17.59,44.32,29.41,82.95,261.32,456.41,295.82,531.18
PL,102.0,35.77,56.36,75.68,365.95,506.45,312.23,531.18
