,EM,MT,PL,CC,16,24,GP,BP
16,341.05,343.32,485.36,226.18,22.18,79.36,145.95,243.73
24,463.68,477.41,651.0,366.68,84.59,25.32,132.55,201.86
BP,369.23,388.09,735.86,373.82,204.45,204.59,42.45,14.27
CC,133.86,93.64,72.95,51.23,196.45,318.09,239.05,407.18
EM,106.14,20.5,116.73,133.55,338.09,508.91,332.18,431.59
GP,301.18,341.55,398.36,224.14,152.95,137.32,9.86,46.41
MT,25.32,57.95,36.0,106.45,362.68,583.14,399.45,636.41
PL,144.23,47.27,65.95,78.55,426.14,557.86,349.09,613.55
