,EM,MT,PL,CC,16,24,GP,BP
16,1202.62,1577.62,1356.24,609.52,34.1,198.0,306.1,598.62
24,1642.43,2084.67,1839.24,970.38,219.86,38.86,239.71,491.1
BP,1369.95,1782.29,2224.57,1094.14,525.43,488.05,108.95,35.71
CC,576.9,557.67,266.86,65.48,546.14,923.9,728.67,1251.95
EM,165.9,120.9,483.81,596.81,1166.62,1903.71,1284.0,1633.52
GP,1126.81,1419.71,1159.71,652.1,309.14,233.86,19.33,111.81
MT,142.43,142.43,173.33,591.57,1448.48,2449.9,1711.24,2619.38
PL,716.81,317.14,108.38,313.0,1142.43,1531.14,1021.76,1878.38
