,16,24,BP,CC,EM,GP,MT,PL
16,30.09,81.43,250.52,225.78,393.83,150.35,382.26,480.22
24,76.39,22.78,196.52,350.22,520.61,126.39,546.0,669.43
BP,209.65,197.74,17.43,365.96,407.87,40.78,427.04,798.87
CC,191.04,296.0,407.96,51.48,152.74,251.43,113.17,73.04
EM,387.17,571.35,485.04,158.74,126.65,382.39,25.0,128.39
GP,152.35,128.0,46.65,243.52,351.87,10.91,379.65,419.83
MT,383.43,646.26,687.13,122.13,31.3,438.61,69.3,41.22
PL,410.04,567.17,671.48,78.09,165.39,362.09,47.13,80.22
Sum,1840.16,2510.7299999999996,2762.7300000000005,1595.92,2150.26,1762.95,1989.55,2691.2200000000003
