,16,24,BP,CC,EM,GP,MT,PL
16,33.32,77.27,218.86,229.09,317.73,136.68,332.18,518.91
24,75.82,30.36,165.32,351.32,436.0,119.36,451.0,751.64
BP,190.59,168.18,18.77,324.82,338.95,30.82,365.95,807.23
CC,204.32,313.55,366.45,54.0,131.14,238.82,98.45,95.91
EM,337.55,500.0,408.5,135.5,107.32,323.91,27.32,155.5
GP,143.77,123.86,36.95,226.5,291.09,20.32,325.09,477.73
MT,353.41,557.95,605.32,112.68,34.68,390.73,77.86,49.45
PL,462.68,651.14,667.0,112.14,204.82,422.86,68.27,99.59
Sum,1801.46,2422.3100000000004,2487.17,1546.05,1861.73,1683.5000000000002,1746.12,2955.96
